type,file,line,key,detail
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense/v1/drills.jsonl",13,"title","Missing required key: title"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense/v1/drills.jsonl",14,"title","Missing required key: title"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense/v1/drills.jsonl",15,"title","Missing required key: title"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense/v1/drills.jsonl",16,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense_vs_btn_co/v1/demos.jsonl",1,"id","ID ""cash_blind_defense_vs_btn_co:demo:01"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense_vs_btn_co/v1/demos.jsonl",1,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense_vs_btn_co/v1/demos.jsonl",2,"id","ID ""cash_blind_defense_vs_btn_co:demo:02"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense_vs_btn_co/v1/demos.jsonl",2,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense_vs_btn_co/v1/demos.jsonl",3,"id","ID ""cash_blind_defense_vs_btn_co:demo:03"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense_vs_btn_co/v1/demos.jsonl",3,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense_vs_btn_co/v1/drills.jsonl",1,"id","ID ""cash_blind_defense_vs_btn_co:drill:01"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense_vs_btn_co/v1/drills.jsonl",1,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense_vs_btn_co/v1/drills.jsonl",2,"id","ID ""cash_blind_defense_vs_btn_co:drill:02"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense_vs_btn_co/v1/drills.jsonl",2,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense_vs_btn_co/v1/drills.jsonl",3,"id","ID ""cash_blind_defense_vs_btn_co:drill:03"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense_vs_btn_co/v1/drills.jsonl",3,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense_vs_btn_co/v1/drills.jsonl",4,"id","ID ""cash_blind_defense_vs_btn_co:drill:04"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense_vs_btn_co/v1/drills.jsonl",4,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense_vs_btn_co/v1/drills.jsonl",5,"id","ID ""cash_blind_defense_vs_btn_co:drill:05"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense_vs_btn_co/v1/drills.jsonl",5,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense_vs_btn_co/v1/drills.jsonl",6,"id","ID ""cash_blind_defense_vs_btn_co:drill:06"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense_vs_btn_co/v1/drills.jsonl",6,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense_vs_btn_co/v1/drills.jsonl",7,"id","ID ""cash_blind_defense_vs_btn_co:drill:07"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense_vs_btn_co/v1/drills.jsonl",7,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense_vs_btn_co/v1/drills.jsonl",8,"id","ID ""cash_blind_defense_vs_btn_co:drill:08"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense_vs_btn_co/v1/drills.jsonl",8,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense_vs_btn_co/v1/drills.jsonl",9,"id","ID ""cash_blind_defense_vs_btn_co:drill:09"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense_vs_btn_co/v1/drills.jsonl",9,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense_vs_btn_co/v1/drills.jsonl",10,"id","ID ""cash_blind_defense_vs_btn_co:drill:10"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense_vs_btn_co/v1/drills.jsonl",10,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense_vs_btn_co/v1/drills.jsonl",11,"id","ID ""cash_blind_defense_vs_btn_co:drill:11"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense_vs_btn_co/v1/drills.jsonl",11,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense_vs_btn_co/v1/drills.jsonl",12,"id","ID ""cash_blind_defense_vs_btn_co:drill:12"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense_vs_btn_co/v1/drills.jsonl",12,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense_vs_btn_co/v1/drills.jsonl",13,"id","ID ""cash_blind_defense_vs_btn_co:drill:13"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense_vs_btn_co/v1/drills.jsonl",13,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense_vs_btn_co/v1/drills.jsonl",14,"id","ID ""cash_blind_defense_vs_btn_co:drill:14"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense_vs_btn_co/v1/drills.jsonl",14,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense_vs_btn_co/v1/drills.jsonl",15,"id","ID ""cash_blind_defense_vs_btn_co:drill:15"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense_vs_btn_co/v1/drills.jsonl",15,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense_vs_btn_co/v1/drills.jsonl",16,"id","ID ""cash_blind_defense_vs_btn_co:drill:16"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense_vs_btn_co/v1/drills.jsonl",16,"title","Missing required key: title"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_vs_blind/v1/demos.jsonl",1,"title","Missing required key: title"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_vs_blind/v1/demos.jsonl",2,"title","Missing required key: title"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_vs_blind/v1/demos.jsonl",3,"title","Missing required key: title"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_vs_blind/v1/drills.jsonl",1,"title","Missing required key: title"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_vs_blind/v1/drills.jsonl",2,"title","Missing required key: title"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_vs_blind/v1/drills.jsonl",3,"title","Missing required key: title"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_vs_blind/v1/drills.jsonl",4,"title","Missing required key: title"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_vs_blind/v1/drills.jsonl",5,"title","Missing required key: title"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_vs_blind/v1/drills.jsonl",6,"title","Missing required key: title"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_vs_blind/v1/drills.jsonl",7,"title","Missing required key: title"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_vs_blind/v1/drills.jsonl",8,"title","Missing required key: title"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_vs_blind/v1/drills.jsonl",9,"title","Missing required key: title"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_vs_blind/v1/drills.jsonl",10,"title","Missing required key: title"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_vs_blind/v1/drills.jsonl",11,"title","Missing required key: title"
